,Pin Code,Video Timestamp,Time Passed,X-Coord (Both),Y-Coord (Both),X-Coord (Head),Y-Coord (Head),X-Coord (Eye),Y-Coord (Eye),Current Timestamp
0,3717,2021-03-12 13:11:26,33.42245989304813,491,1093,431,1071,60,22,2021-03-12 13:11:26.033
1,3717,2021-03-12 13:11:26,66.84491978609626,494,1089,431,1068,63,21,2021-03-12 13:11:26.067
2,3717,2021-03-12 13:11:26,100.26737967914438,493,1089,432,1067,61,22,2021-03-12 13:11:26.100
3,3717,2021-03-12 13:11:26,133.6898395721925,498,1084,437,1062,61,22,2021-03-12 13:11:26.134
4,3717,2021-03-12 13:11:26,167.11229946524062,498,1084,437,1062,61,22,2021-03-12 13:11:26.167
5,3717,2021-03-12 13:11:26,200.53475935828877,497,1086,435,1064,62,22,2021-03-12 13:11:26.201
6,3717,2021-03-12 13:11:26,233.95721925133688,497,1086,437,1065,60,21,2021-03-12 13:11:26.234
7,3717,2021-03-12 13:11:26,267.379679144385,502,1081,442,1059,60,22,2021-03-12 13:11:26.267
8,3717,2021-03-12 13:11:26,300.80213903743316,506,1079,448,1056,58,23,2021-03-12 13:11:26.301
9,3717,2021-03-12 13:11:26,334.22459893048125,507,1079,449,1057,58,22,2021-03-12 13:11:26.334
10,3717,2021-03-12 13:11:26,367.6470588235294,511,1077,453,1056,58,21,2021-03-12 13:11:26.368
11,3717,2021-03-12 13:11:26,401.06951871657753,512,1079,455,1057,57,22,2021-03-12 13:11:26.401
12,3717,2021-03-12 13:11:26,434.4919786096256,512,1075,456,1053,56,22,2021-03-12 13:11:26.434
13,3717,2021-03-12 13:11:26,467.91443850267376,519,1067,461,1045,58,22,2021-03-12 13:11:26.468
14,3717,2021-03-12 13:11:26,501.3368983957219,523,1067,465,1046,58,21,2021-03-12 13:11:26.501
15,3717,2021-03-12 13:11:26,534.75935828877,514,1075,455,1055,59,20,2021-03-12 13:11:26.535
16,3717,2021-03-12 13:11:26,568.1818181818181,514,1075,456,1054,58,21,2021-03-12 13:11:26.568
17,3717,2021-03-12 13:11:26,601.6042780748663,517,1075,459,1054,58,21,2021-03-12 13:11:26.602
18,3717,2021-03-12 13:11:26,635.0267379679144,518,1071,462,1048,56,23,2021-03-12 13:11:26.635
19,3717,2021-03-12 13:11:26,668.4491978609625,519,1071,464,1048,55,23,2021-03-12 13:11:26.668
20,3717,2021-03-12 13:11:26,701.8716577540107,519,1074,462,1052,57,22,2021-03-12 13:11:26.702
21,3717,2021-03-12 13:11:26,735.2941176470588,517,1071,461,1048,56,23,2021-03-12 13:11:26.735
22,3717,2021-03-12 13:11:26,768.7165775401069,519,1071,459,1050,60,21,2021-03-12 13:11:26.769
23,3717,2021-03-12 13:11:26,802.1390374331551,523,1067,467,1044,56,23,2021-03-12 13:11:26.802
24,3717,2021-03-12 13:11:26,835.5614973262032,525,1060,468,1038,57,22,2021-03-12 13:11:26.836
25,3717,2021-03-12 13:11:26,868.9839572192512,530,1055,473,1033,57,22,2021-03-12 13:11:26.869
26,3717,2021-03-12 13:11:26,902.4064171122994,523,1068,466,1046,57,22,2021-03-12 13:11:26.902
27,3717,2021-03-12 13:11:26,935.8288770053475,517,1074,461,1053,56,21,2021-03-12 13:11:26.936
28,3717,2021-03-12 13:11:26,969.2513368983957,523,1076,466,1054,57,22,2021-03-12 13:11:26.969
29,3717,2021-03-12 13:11:26,1002.6737967914438,523,1076,465,1054,58,22,2021-03-12 13:11:27.003
30,3717,2021-03-12 13:11:26,1036.096256684492,523,1074,465,1052,58,22,2021-03-12 13:11:27.036
31,3717,2021-03-12 13:11:26,1069.51871657754,520,1077,462,1056,58,21,2021-03-12 13:11:27.070
32,3717,2021-03-12 13:11:26,1102.941176470588,517,1078,459,1058,58,20,2021-03-12 13:11:27.103
33,3717,2021-03-12 13:11:26,1136.3636363636363,524,1071,466,1052,58,19,2021-03-12 13:11:27.136
34,3717,2021-03-12 13:11:26,1169.7860962566845,526,1072,467,1052,59,20,2021-03-12 13:11:27.170
35,3717,2021-03-12 13:11:26,1203.2085561497327,522,1081,465,1061,57,20,2021-03-12 13:11:27.203
36,3717,2021-03-12 13:11:26,1236.6310160427806,522,1086,462,1067,60,19,2021-03-12 13:11:27.237
37,3717,2021-03-12 13:11:26,1270.0534759358288,523,1092,464,1073,59,19,2021-03-12 13:11:27.270
38,3717,2021-03-12 13:11:26,1303.475935828877,525,1095,464,1075,61,20,2021-03-12 13:11:27.303
39,3717,2021-03-12 13:11:26,1336.898395721925,528,1097,466,1078,62,19,2021-03-12 13:11:27.337
40,3717,2021-03-12 13:11:26,1370.3208556149732,533,1104,470,1086,63,18,2021-03-12 13:11:27.370
41,3717,2021-03-12 13:11:26,1403.7433155080214,530,1116,465,1096,65,20,2021-03-12 13:11:27.404
42,3717,2021-03-12 13:11:26,1437.1657754010694,530,1116,466,1097,64,19,2021-03-12 13:11:27.437
43,3717,2021-03-12 13:11:26,1470.5882352941176,532,1117,469,1098,63,19,2021-03-12 13:11:27.471
44,3717,2021-03-12 13:11:26,1504.0106951871658,536,1117,472,1095,64,22,2021-03-12 13:11:27.504
45,3717,2021-03-12 13:11:26,1537.4331550802137,538,1116,472,1093,66,23,2021-03-12 13:11:27.537
46,3717,2021-03-12 13:11:26,1570.855614973262,541,1118,477,1096,64,22,2021-03-12 13:11:27.571
47,3717,2021-03-12 13:11:26,1604.2780748663101,546,1117,482,1096,64,21,2021-03-12 13:11:27.604
48,3717,2021-03-12 13:11:26,1637.700534759358,550,1116,485,1095,65,21,2021-03-12 13:11:27.638
49,3717,2021-03-12 13:11:26,1671.1229946524063,555,1113,485,1091,70,22,2021-03-12 13:11:27.671
50,3717,2021-03-12 13:11:26,1704.5454545454545,561,1107,492,1086,69,21,2021-03-12 13:11:27.705
51,3717,2021-03-12 13:11:26,1737.9679144385025,571,1103,501,1082,70,21,2021-03-12 13:11:27.738
52,3717,2021-03-12 13:11:26,1771.3903743315507,572,1099,506,1079,66,20,2021-03-12 13:11:27.771
53,3717,2021-03-12 13:11:26,1804.8128342245989,552,1117,486,1096,66,21,2021-03-12 13:11:27.805
54,3717,2021-03-12 13:11:26,1838.2352941176468,542,1124,477,1104,65,20,2021-03-12 13:11:27.838
55,3717,2021-03-12 13:11:26,1871.657754010695,547,1119,484,1099,63,20,2021-03-12 13:11:27.872
56,3717,2021-03-12 13:11:26,1905.0802139037432,551,1119,489,1099,62,20,2021-03-12 13:11:27.905
57,3717,2021-03-12 13:11:26,1938.5026737967914,549,1120,485,1100,64,20,2021-03-12 13:11:27.939
58,3717,2021-03-12 13:11:26,1971.9251336898394,551,1119,488,1099,63,20,2021-03-12 13:11:27.972
59,3717,2021-03-12 13:11:26,2005.3475935828876,556,1116,491,1096,65,20,2021-03-12 13:11:28.005
60,3717,2021-03-12 13:11:26,2038.7700534759358,562,1112,494,1093,68,19,2021-03-12 13:11:28.039
