,Unnamed: 0,Pin Code,Video Timestamp,Time Passed,X-Coord (Both),Y-Coord (Both),X-Coord (Head),Y-Coord (Head),X-Coord (Eye),Y-Coord (Eye),Current Timestamp,Accelerometer_y,Accelerometer_z,Accelerometer_x,Barometer_relativeAltitude,Barometer_pressure,Gravity_y,Gravity_z,Gravity_x,Gyroscope_y,Gyroscope_z,Gyroscope_x,Light_lux,Magnetometer_y,Magnetometer_z,Magnetometer_x,Orientation_qy,Orientation_qx,Orientation_yaw,Orientation_qw,Orientation_qz,Orientation_roll,Orientation_pitch
0,0,3717,2021-03-12 13:11:26,33.42245989304813,491,1093,431,1071,60,22,2021-03-12 13:11:26.033,-0.2529869079589844,-0.07708907127380371,0.6941708922386169,1.093902587890625,1010.135498046875,9.34616470336914,2.964496374130249,0.1761214137077332,-0.01065264455974102,0.037284255027771,-0.1459412276744843,131.0,61.31999969482422,-37.38000106811523,-29.39999961853027,-0.154339000582695,0.5701159834861755,0.4476534426212311,0.7827330231666565,-0.1961469948291779,-0.05934048071503639,-1.263132095336914
1,1,3717,2021-03-12 13:11:26,66.84491978609626,494,1089,431,1068,63,21,2021-03-12 13:11:26.067,-0.6132144927978516,1.942581415176392,0.6839794516563416,1.093902587890625,1010.135498046875,9.347262382507324,2.96074366569519,0.1815244406461716,0.07350324839353561,-0.06711166352033615,0.260989785194397,131.0,61.31999969482422,-37.31999969482422,-29.45999908447266,-0.1544709950685501,0.570248007774353,0.4454167485237122,0.7827010154724121,-0.1957910060882569,-0.0612337738275528,-1.26350200176239
2,2,3717,2021-03-12 13:11:26,100.26737967914438,493,1089,432,1067,61,22,2021-03-12 13:11:26.100,-0.1714525222778321,0.7197091579437256,0.591061532497406,1.093902587890625,1010.135498046875,9.384340286254883,2.842863082885742,0.1499439030885696,0.2205097377300262,-0.04367584362626076,0.3334277868270874,131.0,61.19999694824219,-37.20000076293945,-29.63999938964844,-0.1535730063915253,0.57573401927948,0.4503064155578613,0.7791609764099121,-0.1945569962263108,-0.0526951439678669,-1.27625834941864
3,3,3717,2021-03-12 13:11:26,133.6898395721925,498,1084,437,1062,61,22,2021-03-12 13:11:26.134,-0.09092330932617188,0.4437639713287354,0.3556861281394958,1.025201797485352,1010.1435546875,9.399579048156738,2.793196678161621,0.1267455369234085,0.2822950780391693,-0.1129180341958999,-0.03408846259117126,131.0,61.13999938964844,-37.13999938964844,-29.76000022888184,-0.1508029997348785,0.5786579847335815,0.4490821957588196,0.7782549858093262,-0.1916519999504089,-0.04534541070461273,-1.281659364700317
4,4,3717,2021-03-12 13:11:26,167.11229946524062,498,1084,437,1062,61,22,2021-03-12 13:11:26.167,-0.4069671630859375,0.6899135112762451,-0.2425922155380249,1.025201797485352,1010.1435546875,9.394800186157227,2.810409307479858,0.09774301946163176,-0.05539375171065331,0.02130528911948204,-0.1363538503646851,131.0,61.07999801635742,-37.02000045776367,-29.81999969482422,-0.1488550007343292,0.5784040093421936,0.4570841193199158,0.7787809967994691,-0.1918070018291473,-0.03476491570472717,-1.279955148696899
5,5,3717,2021-03-12 13:11:26,200.5347593582888,497,1086,435,1064,62,22,2021-03-12 13:11:26.201,-0.4571247100830078,0.6170961856842041,1.407922267913818,1.025201797485352,1010.1435546875,9.382708549499512,2.849707841873169,0.1183813214302063,-0.07669904083013535,-0.08522115647792816,-0.09800432622432707,117.0,61.07999801635742,-37.02000045776367,-29.81999969482422,-0.1502670049667358,0.5763030052185059,0.4541164934635162,0.7798069715499878,-0.1928559988737107,-0.04151768982410431,-1.275685787200928
6,6,3717,2021-03-12 13:11:26,233.95721925133685,497,1086,437,1065,60,21,2021-03-12 13:11:26.234,-0.2585048675537109,1.508725881576538,0.0479002520442009,1.025201797485352,1010.1435546875,9.380413055419922,2.858298063278198,0.08976634591817856,0.1576591432094574,-0.1757686287164688,0.1171790882945061,117.0,61.07999801635742,-37.02000045776367,-29.63999938964844,-0.1493670046329499,0.5761569738388062,0.4649316370487213,0.7797530293464661,-0.1942050009965897,-0.03139520436525345,-1.274882078170776
7,7,3717,2021-03-12 13:11:26,267.379679144385,502,1081,442,1059,60,22,2021-03-12 13:11:26.267,-0.1719865798950195,1.073761463165283,0.07575798034667969,1.025201797485352,1010.1435546875,9.404027938842773,2.780903339385986,0.03317819535732269,0.07243798673152924,-0.08415589481592177,0.2460760921239853,117.0,61.07999801635742,-37.2599983215332,-29.34000015258789,-0.1478269994258881,0.5799660086631775,0.4831792414188385,0.7769880294799805,-0.195129007101059,-0.01193015929311514,-1.283254742622376
8,8,3717,2021-03-12 13:11:26,300.8021390374332,506,1079,448,1056,58,23,2021-03-12 13:11:26.301,-0.2458372116088867,-0.1960439682006836,0.6255860328674316,1.025201797485352,1010.1435546875,9.41084098815918,2.757839679718018,0.024439737200737,-0.0926780104637146,-0.08628641813993454,-0.09800432622432707,117.0,61.07999801635742,-37.31999969482422,-29.27999877929688,-0.1481249928474427,0.5809029936790466,0.4875072538852692,0.7760750055313109,-0.1957470029592514,-0.008861681446433067,-1.285714507102966
9,9,3717,2021-03-12 13:11:26,334.22459893048125,507,1079,449,1057,58,22,2021-03-12 13:11:26.334,-0.4614458084106445,0.7679879665374756,0.1019388735294342,1.025201797485352,1010.1435546875,9.401394844055176,2.789795875549316,0.03093932941555977,-0.1960086524486541,-0.01491370238363743,-0.1672465205192566,117.0,61.02000045776367,-37.5,-29.15999984741211,-0.1487960070371628,0.5793269872665405,0.4879555404186249,0.776856005191803,-0.1968069970607758,-0.01108972169458866,-1.282309651374817
10,10,3717,2021-03-12 13:11:26,367.64705882352933,511,1077,453,1056,58,21,2021-03-12 13:11:26.368,-0.2266826629638672,1.077373027801514,0.6063928008079529,1.025201797485352,1010.1435546875,9.396474838256836,2.806022167205811,0.05320975929498672,-0.06391586363315582,-0.03195793181657791,0.0788295716047287,117.0,60.95999908447266,-37.79999923706055,-29.03999900817871,-0.1507250070571899,0.5781130194664001,0.4846312701702118,0.7771080136299133,-0.1979140043258667,-0.01896042749285698,-1.280551195144653
11,11,3717,2021-03-12 13:11:26,401.06951871657753,512,1079,455,1057,57,22,2021-03-12 13:11:26.401,-0.3051519393920898,0.5090525150299072,0.5961323976516724,1.025201797485352,1010.1435546875,9.398329734802246,2.799734115600586,0.05389335751533508,0.008522115647792816,-0.03941478580236435,0.02450108155608177,117.0,60.89999771118164,-37.97999954223633,-29.03999900817871,-0.150748997926712,0.5783839821815491,0.4841096103191376,0.7769420146942139,-0.1977500021457672,-0.01924707740545273,-1.28121280670166
12,12,3717,2021-03-12 13:11:26,434.4919786096256,512,1075,456,1053,56,22,2021-03-12 13:11:26.434,-0.3792667388916016,0.7257370948791504,0.2399219870567321,1.025201797485352,1010.1435546875,9.395830154418944,2.808104515075684,0.05576192960143089,-0.1310275346040725,-0.05432848632335663,-0.07563377916812898,117.0,60.89999771118164,-38.04000091552734,-29.09999847412109,-0.1508789956569672,0.5779809951782227,0.4840331375598908,0.7771649956703186,-0.197955995798111,-0.01985488831996917,-1.280321598052978
13,13,3717,2021-03-12 13:11:26,467.9144385026737,519,1067,461,1045,58,22,2021-03-12 13:11:26.468,-0.3986787796020508,0.7332580089569092,0.1879889667034149,1.009349822998047,1010.1455078125,9.38651180267334,2.83889102935791,0.06459931284189224,-0.08948221802711487,-0.007456851191818714,-0.08735168725252151,124.0,60.84000015258789,-38.21999740600586,-29.09999847412109,-0.1517989933490753,0.5763800144195557,0.4843819439411163,0.7778689861297607,-0.1991499960422516,-0.02275119721889496,-1.277022004127502
