,0
0,012625
1,500261
2,763067
3,093545
4,258593
5,850726
6,078799
7,466303
8,893154
9,786862
10,484681
11,206329
12,387536
13,199098
14,980527
15,145448
16,832395
17,853194
18,117452
19,658764
20,235883
21,299962
22,428433
23,847414
24,084827
25,199714
26,190354
27,412564
28,794444
29,294527
30,142130
31,634679
32,601997
33,566448
34,695769
35,895286
36,021597
37,764886
38,785239
39,130081
40,229348
41,862703
42,154570
43,545930
44,592407
45,564780
46,767698
47,782136
48,050113
49,143234
50,407967
51,061602
52,738860
53,304656
54,020265
55,574061
56,027769
57,451911
58,617935
59,794318
60,179544
61,031153
62,387746
63,935826
64,606938
65,739594
66,213527
67,383860
68,665880
69,478953
70,023404
71,116775
72,024318
73,495697
74,102991
75,439421
76,888437
77,024845
78,809346
79,082126
80,872995
81,962035
82,686276
83,668780
84,300714
85,470976
86,169098
87,203963
88,970612
89,102410
90,236703
91,337934
92,953919
93,609473
94,083257
95,035759
96,229776
97,671337
98,573451
99,953142
